	Mim109	Mim11	Mim12	Mim141	Mim143	Mim151	Mim152	Mim161	Mim162	Mim172	Mim176	Mim181	Mim182	Mim190	Mim191	Mim1	Mim201	Mim212	Mim21	Mim224	Mim228	Mim22	Mim237	Mim238	Mim250	Mim255	Mim2	Mim31	Mim32	Mim46	Mim57	Mim58	Mim66	Mim67	Mim83	Mim87	Mim93	Mim97	Mim98
1107302	0	1	0	1	3	8	7	1	2	0	3	0	0	0	1	1	0	1	1	3	0	6	0	0	2	5	0	4	2	0	0	0	0	1	0	1	0	0	2
1777154	0	1	0	1	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_6340	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
OTU_dn_1700	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	10	2	0	2	0	0	0	0	0
OTU_dn_12643	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_7390	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU_dn_1619	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	1	0	1	1	0	3	1	2	0	0	3	0
545706	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
537151	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
222843	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	1	2	0	0	0	0	0	0
OTU_dn_4114	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	3	0	1	0	0	2	1	1	1
OTU_dn_2188	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	3	0
OTU_dn_13286	0	0	0	9	11	13	3	21	10	11	15	1	5	8	2	0	0	2	0	9	20	0	22	10	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_5810	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2682	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	5	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6	0
509120	0	1	0	0	5	0	2	3	2	0	0	1	0	2	0	0	0	4	6	1	0	2	7	4	1	5	0	0	0	0	1	0	0	0	0	0	0	1	0
211062	0	1	0	14	9	14	12	19	7	33	11	3	0	0	1	4	0	1	3	4	2	0	2	7	21	3	0	0	32	0	1	0	7	1	0	0	1	0	36
4439836	0	2	3	1	0	0	0	0	0	0	1	0	0	0	3	2	0	0	2	2	2	0	0	1	0	2	4	0	0	2	0	0	0	2	2	0	0	0	0
247756	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	1	0	0	8	1	1	0	0	0	0	1	1
551234	0	5	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	1	0	0	0	8	0	5	1	2	0	0	0	0	0
4417364	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0
OTU_dn_1352	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	122	0	1	0	0	2	0	0	0	1	1	1	0	0	1	2	1	0	0	0	0	1	0
OTU_dn_12616	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_5722	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
4419214	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	3	1	1	0	2	0	0	0	1	0	0	0	0	0	1
1106275	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
580379	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
568015	0	0	0	1	2	0	1	1	4	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_dn_11776	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0
510282	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	1	0	4	0	6	3	3	1	0	0	1	0	6
OTU_dn_12992	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_10216	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	4
OTU_dn_6198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_dn_864	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	10	2	7	2	6	0	0	0	0	0
OTU_dn_6113	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1106016	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
OTU_dn_6445	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_4112	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	2	0	0	0	0	0
OTU_dn_1627	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	3	0	2	2	0	0	0	1	3	0
OTU_dn_10175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
46818	0	1	3	0	1	0	1	0	2	1	1	0	0	0	0	2	0	0	1	0	1	0	0	0	4	0	4	1	1	1	1	2	1	3	0	4	3	4	0
OTU_dn_12615	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025458	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
537856	0	1	0	1	0	3	2	0	2	1	1	1	0	0	2	2	0	0	0	0	0	0	0	4	3	1	0	3	0	2	0	0	0	0	0	0	1	0	0
OTU_dn_12639	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2565174	0	0	6	0	0	0	0	0	0	0	0	0	0	2	1	2	0	1	2	0	0	2	0	0	0	1	2	2	0	9	0	4	7	6	0	1	0	0	0
567628	0	4	0	29	24	47	50	34	46	19	43	6	7	5	18	0	0	2	0	40	29	0	35	33	30	60	0	1	0	7	2	5	6	6	1	0	0	0	2
1733415	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU_dn_10351	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0
33872	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_dn_11084	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
256287	0	2	0	0	2	4	0	5	0	2	0	1	4	4	3	2	0	0	4	2	4	0	2	0	0	1	0	28	4	0	0	3	3	3	6	10	2	26	1
571847	0	0	2	0	0	1	2	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	4	0	0	1	0
OTU_dn_10956	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_3638	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_603	0	1	0	3	1	12	4	4	5	3	4	2	1	2	1	0	0	0	0	1	0	0	2	1	4	1	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_dn_3651	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
1432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
510320	0	2	0	2	5	0	0	1	0	3	0	0	0	1	0	0	0	2	0	4	2	4	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0
OTU_dn_538	0	1	2	2	1	4	2	2	3	2	1	5	4	9	7	3	0	2	0	6	2	2	2	3	2	0	0	1	0	2	13	1	1	1	0	0	1	1	1
OTU_dn_583	0	3	0	3	1	1	0	0	0	2	1	5	2	5	10	0	0	0	0	0	0	0	1	1	0	1	4	0	0	0	0	0	2	2	1	1	1	0	0
OTU_dn_3023	0	1	1	0	0	0	0	0	0	0	0	2	1	0	6	0	0	0	0	9	1	2	2	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
249280	0	2	0	2	1	2	0	1	1	1	0	0	0	0	0	0	0	1	9	1	1	4	0	0	1	1	0	2	0	0	0	0	1	0	2	0	0	0	0
561193	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_dn_1742	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	2	4	0	2	2	0	0	0	0	3
217979	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0
OTU_dn_388	0	1	0	2	5	3	6	3	3	8	4	11	12	14	14	0	0	7	1	7	1	0	8	1	17	3	4	0	2	4	1	4	5	3	0	0	0	0	0
853316	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	1
1760355	0	2	0	0	0	0	0	0	0	0	0	1	0	4	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
227453	0	1	0	1	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	3	0	3	1	0	1	2	0	1	0	0	0	6
OTU_dn_2671	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
759624	0	1	0	0	2	0	0	1	2	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	5	7	2	2	0	0	0	0	1	0
OTU_dn_10750	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_9989	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
160422	0	2	1	5	9	12	3	2	6	16	6	1	6	0	5	0	0	0	3	3	0	2	0	5	9	2	0	0	0	13	8	2	3	1	0	0	1	0	0
2591420	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_dn_5982	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2	0	2	0	0	0	2	0	0	0	0	4	0	0	1	0	0	0	0	0	0
52053	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0	0	0
OTU_dn_1231	0	1	0	2	2	1	0	1	1	4	0	1	0	0	0	0	0	1	0	2	11	0	3	3	1	6	1	0	0	0	0	1	1	0	0	0	0	0	0
OTU_dn_11086	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185950	0	2	0	2	0	2	0	0	0	0	0	0	0	0	2	19	0	0	0	0	0	5	0	0	0	0	7	0	17	0	0	0	1	0	0	0	0	0	13
4345360	0	1	3	0	0	0	2	5	2	1	0	0	1	2	4	4	0	2	12	2	1	0	2	6	1	0	1	4	0	1	0	0	0	0	1	2	2	1	2
OTU_dn_4345	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
555945	0	1	0	3	0	1	2	0	0	0	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	4	11	11	4	5	14	5	3	2	5	3	20	7
OTU_dn_8221	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
11427	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0
OTU_dn_7824	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU_dn_13285	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0
OTU_dn_280	0	0	0	4	5	1	1	16	13	8	6	0	1	1	2	0	0	6	0	3	3	0	13	3	2	8	1	0	2	0	0	0	0	0	0	1	0	0	1
OTU_dn_13528	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_10459	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_12663	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU_dn_12383	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0
OTU_dn_3567	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0
OTU_dn_937	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	0	0	0	0	14
OTU_dn_12624	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_4920	0	2	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1
2714244	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	6	0	4	4	3	0	0	1	0	0
OTU_dn_10519	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
585869	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0
884762	0	1	0	0	0	1	4	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_dn_6421	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0
4305723	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	7	16	8	9	5	1	0	0	4	0
806378	0	1	0	0	0	0	1	0	4	4	5	1	2	0	4	0	0	0	0	2	0	2	3	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_9465	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0
534885	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2473	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	2	0
285591	0	2	0	15	11	10	54	4	15	4	10	3	2	1	2	0	0	2	0	3	5	0	12	9	8	11	0	0	1	0	5	2	7	9	0	0	0	1	0
238951	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_dn_11304	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	1	0	2	0	0
OTU_dn_13401	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_11037	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4438581	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
249571	0	2	0	0	0	1	3	1	0	0	2	0	0	0	0	1	0	0	1	0	2	2	2	3	0	1	0	0	1	0	0	0	2	0	1	0	1	0	0
OTU_dn_4309	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	4	0
OTU_dn_2024	0	1	2	1	1	0	3	2	0	0	3	0	0	0	0	1	0	0	0	2	6	0	2	3	4	4	0	1	0	0	0	2	3	1	0	0	0	0	0
OTU_dn_13403	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_9786	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4242238	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0
OTU_dn_5690	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1118355	0	2	0	1	1	4	1	1	1	1	5	2	3	1	1	1	0	2	0	2	0	0	0	0	4	1	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU_dn_6837	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
151835	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	4	1	1	0	0	0	0	0
OTU_dn_1247	0	1	2	2	1	2	2	5	0	1	3	0	2	1	3	0	0	1	0	2	0	1	7	0	2	0	1	0	0	1	0	1	0	0	0	0	1	2	0
OTU_dn_9296	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
575555	0	1	0	0	0	1	1	4	0	2	2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	3	2	1	0	0	345	20	1	0	0	0	2
797272	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_13560	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
199817	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	2	0	0	0	0	3	0	2	0	0	0	0	0	1	0	2	1	0
4402369	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	1	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
550979	0	1	3	0	0	0	0	0	0	0	0	3	3	1	0	3	0	0	0	0	1	0	1	0	0	0	0	5	0	0	0	1	0	2	2	3	0	2	0
OTU_dn_5435	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142277	0	0	0	0	0	0	0	0	0	0	0	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	1	2	2	0
1640195	0	1	1	1	0	5	0	0	3	1	6	0	1	0	1	1	0	1	1	2	2	0	1	0	1	2	7	1	3	2	0	1	0	0	1	2	0	2	4
OTU_dn_951	0	1	0	2	6	2	3	0	1	1	0	2	0	1	4	0	0	0	0	0	0	0	6	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1662279	0	0	0	2	0	2	3	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1409	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	6	0	2	0
4346060	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	3	4	5	0	0	1	0	0
OTU_dn_12055	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0
704614	0	1	2	1	0	1	4	1	6	6	4	2	3	4	0	2	6	3	2	0	0	0	0	1	0	3	2	3	0	1	0	0	0	1	1	0	0	0	1
OTU_dn_8117	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
826497	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
OTU_dn_1556	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	1	1	2	0	1	0	0	1	0	5	2	3	3	2	0	0	0	0	0
OTU_dn_338	0	1	2	8	3	5	8	9	8	3	18	1	1	0	1	0	0	2	0	7	10	1	3	10	5	3	0	1	0	3	2	2	7	0	0	0	0	0	0
OTU_dn_14161	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105699	0	1	7	5	3	4	2	5	2	5	6	0	0	4	1	0	0	3	5	2	0	2	9	2	7	3	2	3	0	3	1	4	5	5	0	0	0	7	0
614081	0	3	0	20	12	7	2	2	18	4	13	0	0	0	1	0	0	1	0	8	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
834363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	6	0	4	0	9
OTU_dn_2878	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1472	0	1	0	0	0	0	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	1	2	1	0	0
585881	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2522	0	0	3	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268101	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251049	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	3
OTU_dn_143	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0
OTU_dn_3490	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	5	0	2	2	0	0	2	0	0	0
4377645	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	1	0	0	1	0	0	5	1	1	0	0	2	0	2	5	3	8	1
OTU_dn_4907	0	0	1	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_5062	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0
OTU_dn_3983	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
161263	0	0	2	5	2	3	0	0	1	0	0	2	1	0	1	0	0	5	0	0	1	3	0	1	1	0	1	1	0	8	4	4	2	5	1	0	0	0	0
OTU_dn_2635	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	9	0	3	0	0	0	0	11	0	0	4	0
